Region_name,District,HR_info_district_name,REGN_NO,DIST_NO,Sector,Activity_type,Organisation,Activity,Start_date,End_date
Sannag,El Afweyn,Ceel Afweyn,15,1501,Livelihood,Somrep-Somalia Resilience Prgm,World_Vision_Somalia,The proposed project is to improve the household and community resilience in populations affected by crises through targeted livelihood interventions.,01-01-2013,03-01-2014
Bakool,El Barde,Ceel Barde,25,2501,Livelihood,Somrep-Somalia Resilience Prgm,World_Vision_Somalia,The proposed project is to improve the household and community resilience in populations affected by crises through targeted livelihood interventions.,01-01-2013,03-01-2014
Galgaduud,El Buur,Ceel Buur,19,1904,Livelihood,Somrep-Somalia Resilience Prgm,World_Vision_Somalia,The proposed project is to improve the household and community resilience in populations affected by crises through targeted livelihood interventions.,01-01-2013,03-01-2014
Galgaduud,El Der,Ceel Buur,19,1904,Livelihood,Somrep-Somalia Resilience Prgm,World_Vision_Somalia,The proposed project is to improve the household and community resilience in populations affected by crises through targeted livelihood interventions.,01-01-2013,03-01-2014
Gedo,Ceel Waaq,El Waq,26,2604,Livelihood,Somrep-Somalia Resilience Prgm,World_Vision_Somalia,The proposed project is to improve the household and community resilience in populations affected by crises through targeted livelihood interventions.,01-01-2013,03-01-2014
Sannag,Erigavo,Ceerigaabo,15,1502,Livelihood,Somrep-Somalia Resilience Prgm,World_Vision_Somalia,The proposed project is to improve the household and community resilience in populations affected by crises through targeted livelihood interventions.,01-01-2013,03-01-2014
Nugaal,Eyl,Eyl,17,1702,Livelihood,Somrep-Somalia Resilience Prgm,World_Vision_Somalia,The proposed project is to improve the household and community resilience in populations affected by crises through targeted livelihood interventions.,01-01-2013,03-01-2014
Woqooyi Galbeed,Gabiley,Gabiley,12,1202,Livelihood,Somrep-Somalia Resilience Prgm,World_Vision_Somalia,The proposed project is to improve the household and community resilience in populations affected by crises through targeted livelihood interventions.,01-01-2013,03-01-2014
Mudug,Gaalkacyo,Galkaacyo,18,1801,Livelihood,Somrep-Somalia Resilience Prgm,World_Vision_Somalia,The proposed project is to improve the household and community resilience in populations affected by crises through targeted livelihood interventions.,01-01-2013,03-01-2014
Gedo,Garbaharey,Garbahaarey,26,2605,Livelihood,Somrep-Somalia Resilience Prgm,World_Vision_Somalia,The proposed project is to improve the household and community resilience in populations affected by crises through targeted livelihood interventions.,01-01-2013,03-01-2014
Bari,Qardho,Qardho,16,1604,Livelihood,Somrep-Somalia Resilience Prgm,World_Vision_Somalia,The proposed project is to improve the household and community resilience in populations affected by crises through targeted livelihood interventions.,01-01-2013,03-01-2014
Nugaal,Garowe,Garowe,17,1703,Livelihood,Somrep-Somalia Resilience Prgm,World_Vision_Somalia,The proposed project is to improve the household and community resilience in populations affected by crises through targeted livelihood interventions.,01-01-2013,03-01-2014
Mudug,Galdogob,Galdogob,18,1802,Livelihood,Somrep-Somalia Resilience Prgm,World_Vision_Somalia,The proposed project is to improve the household and community resilience in populations affected by crises through targeted livelihood interventions.,01-01-2013,03-01-2014
Woqooyi Galbeed,Hargeysa,Hargeysa,12,1203,Livelihood,Somrep-Somalia Resilience Prgm,World_Vision_Somalia,The proposed project is to improve the household and community resilience in populations affected by crises through targeted livelihood interventions.,01-01-2013,03-01-2014
Mudug,Hobyo,Hobyo,18,1804,Livelihood,Somrep-Somalia Resilience Prgm,World_Vision_Somalia,The proposed project is to improve the household and community resilience in populations affected by crises through targeted livelihood interventions.,01-01-2013,03-01-2014
Bakool,Hudur,Xudur,25,2502,Livelihood,Somrep-Somalia Resilience Prgm,World_Vision_Somalia,The proposed project is to improve the household and community resilience in populations affected by crises through targeted livelihood interventions.,01-01-2013,03-01-2014
Bari,Iskushuban,Iskushuban,16,1605,Livelihood,Somrep-Somalia Resilience Prgm,World_Vision_Somalia,The proposed project is to improve the household and community resilience in populations affected by crises through targeted livelihood interventions.,01-01-2013,03-01-2014
Hiraan,Jalalaqsi,Jalalaqsi,20,2003,Livelihood,Somrep-Somalia Resilience Prgm,World_Vision_Somalia,The proposed project is to improve the household and community resilience in populations affected by crises through targeted livelihood interventions.,01-01-2013,03-01-2014
Lower Juba,Jamaame,Jamaame,28,2803,Livelihood,Somrep-Somalia Resilience Prgm,World_Vision_Somalia,The proposed project is to improve the household and community resilience in populations affected by crises through targeted livelihood interventions.,01-01-2013,03-01-2014
Mudug,Jariiban,Jariiban,18,1805,Livelihood,Somrep-Somalia Resilience Prgm,World_Vision_Somalia,The proposed project is to improve the household and community resilience in populations affected by crises through targeted livelihood interventions.,01-01-2013,03-01-2014
Middle Juba,Jilib,Jilib,27,2702,Livelihood,Somrep-Somalia Resilience Prgm,World_Vision_Somalia,The proposed project is to improve the household and community resilience in populations affected by crises through targeted livelihood interventions.,01-01-2013,03-01-2014
Middle shabelle,Jowhar,Jowhar,21,2103,Livelihood,Somrep-Somalia Resilience Prgm,World_Vision_Somalia,The proposed project is to improve the household and community resilience in populations affected by crises through targeted livelihood interventions.,01-01-2013,03-01-2014
,Kandala,Qandala,16,1605,Livelihood,Somrep-Somalia Resilience Prgm,World_Vision_Somalia,The proposed project is to improve the household and community resilience in populations affected by crises through targeted livelihood interventions.,01-01-2013,03-01-2014
Lower Juba,Kismayo,Kismayo,28,2804,Livelihood,Somrep-Somalia Resilience Prgm,World_Vision_Somalia,The proposed project is to improve the household and community resilience in populations affected by crises through targeted livelihood interventions.,01-01-2013,03-01-2014
Sanaag,Las Khorey,Laasqoray,15,1503,Livelihood,Somrep-Somalia Resilience Prgm,World_Vision_Somalia,The proposed project is to improve the household and community resilience in populations affected by crises through targeted livelihood interventions.,01-01-2013,03-01-2014
Sool,Lasanod,Laas Caanood,14,1403,Livelihood,Somrep-Somalia Resilience Prgm,World_Vision_Somalia,The proposed project is to improve the household and community resilience in populations affected by crises through targeted livelihood interventions.,01-01-2013,03-01-2014
Awdal,Lughaye,Lughaye,11,1103,Livelihood,Somrep-Somalia Resilience Prgm,World_Vision_Somalia,The proposed project is to improve the household and community resilience in populations affected by crises through targeted livelihood interventions.,01-01-2013,03-01-2014
Gedo,Luuq,Luuq,26,2606,Livelihood,Somrep-Somalia Resilience Prgm,World_Vision_Somalia,The proposed project is to improve the household and community resilience in populations affected by crises through targeted livelihood interventions.,01-01-2013,03-01-2014
Lower Shebelle,Marka,Marka,23,2304,Livelihood,Somrep-Somalia Resilience Prgm,World_Vision_Somalia,The proposed project is to improve the household and community resilience in populations affected by crises through targeted livelihood interventions.,01-01-2013,03-01-2014
Togdheer,Owdweyne,Owdweyne,13,1303,Livelihood,Somrep-Somalia Resilience Prgm,World_Vision_Somalia,The proposed project is to improve the household and community resilience in populations affected by crises through targeted livelihood interventions.,01-01-2013,03-01-2014
Bay,Qansah Dere,Qansax Dheere,24,2404,Livelihood,Somrep-Somalia Resilience Prgm,World_Vision_Somalia,The proposed project is to improve the household and community resilience in populations affected by crises through targeted livelihood interventions.,01-01-2013,03-01-2014
Bakool,Rab Dhuure,Rab Dhuure,25,2503,Livelihood,Somrep-Somalia Resilience Prgm,World_Vision_Somalia,The proposed project is to improve the household and community resilience in populations affected by crises through targeted livelihood interventions.,01-01-2013,03-01-2014
Lower Shebelle,Sablale,Sablaale,23,2306,Livelihood,Somrep-Somalia Resilience Prgm,World_Vision_Somalia,The proposed project is to improve the household and community resilience in populations affected by crises through targeted livelihood interventions.,01-01-2013,03-01-2014
Middle Juba,Sakow,Saakow,27,2703,Livelihood,Somrep-Somalia Resilience Prgm,World_Vision_Somalia,The proposed project is to improve the household and community resilience in populations affected by crises through targeted livelihood interventions.,01-01-2013,03-01-2014
Togdheer,Sheikh,Sheikh,13,1304,Livelihood,Somrep-Somalia Resilience Prgm,World_Vision_Somalia,The proposed project is to improve the household and community resilience in populations affected by crises through targeted livelihood interventions.,01-01-2013,03-01-2014
Sool,Taleh,Taleex,14,1404,Livelihood,Somrep-Somalia Resilience Prgm,World_Vision_Somalia,The proposed project is to improve the household and community resilience in populations affected by crises through targeted livelihood interventions.,01-01-2013,03-01-2014
Bakool,Waajid,Waajid,25,2505,Livelihood,Somrep-Somalia Resilience Prgm,World_Vision_Somalia,The proposed project is to improve the household and community resilience in populations affected by crises through targeted livelihood interventions.,01-01-2013,03-01-2014
Lower Shebelle,Wanla Weyne,Wanle Weyne,23,2307,Livelihood,Somrep-Somalia Resilience Prgm,World_Vision_Somalia,The proposed project is to improve the household and community resilience in populations affected by crises through targeted livelihood interventions.,01-01-2013,03-01-2014
sool,Xudun,Xudun,14,1402,Livelihood,Somrep-Somalia Resilience Prgm,World_Vision_Somalia,The proposed project is to improve the household and community resilience in populations affected by crises through targeted livelihood interventions.,01-01-2013,03-01-2014
Awdal,Zeylac,Zeylac,11,1104,Livelihood,Somrep-Somalia Resilience Prgm,World_Vision_Somalia,The proposed project is to improve the household and community resilience in populations affected by crises through targeted livelihood interventions.,01-01-2013,03-01-2014
Nugaal,Garowe,Garowe,17,1703,"MultiSectoral (Wash, Health, Livelihoods)","Puntland Intergrated Health, Wash And Peacebuilding Project",World_Vision_Somalia,"The project will be implemented for 12 months to support vulnerable men, women and children in Garowe IDP Camps (both new and old) Shelter Resettlement areas through health, WASH and peace-building",08-01-2013,07-01-2014
Gedo,Dolow,Doolow,26,2603,"MultiSectoral (Wash, Health, Livelihoods)","Emergency Gap Funding For Health, Wash & Livelihood Activities",World_Vision_Somalia,"The project is met to improve the quality of life through life saving interventions in health, WASH and Livelihood among vulnerable IDPs and host populations in Doloow District of Gedo Region, Somalia.",07-01-2013,09-01-2013
Gedo,Dolow,Doolow,26,2603,Livelihood,Somrep Danida Grant,World_Vision_Somalia,"SomReP is World Vision Somalia's ""Secure the Future"" consortium to build resilience in Somalia with 6 other NGOs. DANIDA's 3-year funding is SomReP's first grant. WVSomalia is prime recipient, and consortium members DRC and COOPI will implement. WVJapan is the SO booking the income and providing match funding",03-01-2013,02-01-2016
Bari,Dangorayo,,,,Livelihood,Emergency Goat Restocking In Dangorayo Arp,World_Vision_Somalia,SomRep is a multi agency livelihood program- Sida will fund a portion of the program and the Match will be from Germany,03-01-2013,04-01-2013
Togdheer,Owdweyne,Owdweyne,13,1303,"MultiSectoral (Wash, Livelihoods)",Odweyne Arp Core Funding Livelihoods Project,World_Vision_Somalia,"This livelihoods and WASH project is part of Odweyne ARP's core funding, and will focus on 8 villages within Odweyne District, Togdheer District.",03-01-2013,04-01-2016
Bari,Dangorayo,,,,WASH,Wash Project Within Dangorayo Arp,World_Vision_Somalia,"WVS will deliver critical WASH activities within 6 focal villages of Dangorayo ARP, building upon previous WASH interventions and in line with community-identified needs.",04-01-2013,03-01-2014
Woqooyi Galbeed,Gabiley,Gabiley,12,1202,Nutrition,Somaliland Targetted Supplementary Feeding And Mchn Project,World_Vision_Somalia,The project is to Improve nutritional status for children 6-59 months and PLW through immediate response and promote growth during infancy and early childhood in order to prevent acute malnutrition and break the intergenerational cycle of malnutrition.,05-01-2013,09-01-2014
Woqooyi Galbeed,Hargeysa,Hargeysa,12,1203,Nutrition,Somaliland Targetted Supplementary Feeding And Mchn Project,World_Vision_Somalia,The project is to Improve nutritional status for children 6-59 months and PLW through immediate response and promote growth during infancy and early childhood in order to prevent acute malnutrition and break the intergenerational cycle of malnutrition.,05-01-2013,09-01-2014
Nugaal,Eyl,Eyl,17,1702,Nutrition,Puntland -Targetted Supplementary Feeding Project,World_Vision_Somalia,"To prevent those moderately malnourished (both children and pregnant and lactating women) becoming severely malnourished through the provision of RUSF or an individual ration (CSB, Sugar and Oil) to the beneficiary.",06-01-2013,10-01-2014
Gedo,Beled Hawo,Belet Xaawo,26,2602,Education,Emergency Education Intervention to Drought/conflict victims of Gedo north communities,Trocaire,"The goal of the project is to increase enrollment of primary school children from vulnerable IDPs families and host communities affected by drought and conflicts. The emergency education project supports 13 primary schools through: 
1. Training teachers on child friendly pedagogical learning, teaching education methodology and psycho-social support. 
2. Training CEC members on school management and sustainability. 
3. Creating a conductive environment for learning and teaching by rehabilitating permanent and constructing semi-permanent classrooms. 
4. Paying teacher incentives to ensure school functionality and continuity.",01-01-2012,05-01-2014
Gedo,Garbaharey,Garbahaarey,26,2605,Education,Emergency Education Intervention to Drought/conflict victims of Gedo north communities,Trocaire,"The goal of the project is to increase enrollment of primary school children from vulnerable IDPs families and host communities affected by drought and conflicts. The emergency education project supports 13 primary schools through: 
1. Training teachers on child friendly pedagogical learning, teaching education methodology and psycho-social support. 
2. Training CEC members on school management and sustainability. 
3. Creating a conductive environment for learning and teaching by rehabilitating permanent and constructing semi-permanent classrooms. 
4. Paying teacher incentives to ensure school functionality and continuity.",01-01-2012,05-01-2014
Gedo,Beled Hawo,Belet Xaawo,26,2602,Education,Gedo School Feeding Programme.,Trocaire,The goal of the project is to maintain attendance at primary school & to improve enrollment through the provision of basic nutritional requirements in communities adversely affected by chronic humanitarian crisis.,10-01-2012,09-01-2013
Gedo,Dolow,Doolow,26,2603,Education,Gedo School Feeding Programme.,Trocaire,The goal of the project is to maintain attendance at primary school & to improve enrollment through the provision of basic nutritional requirements in communities adversely affected by chronic humanitarian crisis.,10-01-2012,09-01-2013
Gedo,Garbaharey,Garbahaarey,26,2605,Education,Gedo School Feeding Programme.,Trocaire,The goal of the project is to maintain attendance at primary school & to improve enrollment through the provision of basic nutritional requirements in communities adversely affected by chronic humanitarian crisis.,10-01-2012,09-01-2013
Gedo,Luuq,Luuq,26,2606,Education,Gedo School Feeding Programme.,Trocaire,The goal of the project is to maintain attendance at primary school & to improve enrollment through the provision of basic nutritional requirements in communities adversely affected by chronic humanitarian crisis.,10-01-2012,09-01-2013
Gedo,Luuq,Luuq,26,2606,Education,"School WASH Facilities in Luuq District, Gedo Region, Somalia",Trocaire,"The project aimed to reduce the suffering of school children from diseases associated with poor hygienic conditions as well as lack of access to clean and safe water and sanitation. The project was realized through construction of 7 twin latrines, 2 water tanks, 7 washing facilities and promotion of hygiene and sanitation education campaign in the project area schools to increase knowledge on appropriate hygiene & sanitation behaviors.",12-01-2012,04-01-2013
Gedo,Beled Hawo,Belet Xaawo,26,2602,Health,Health Consortium Somalia,Trocaire,"This is a five year project funded by DFID and Implemented by a consortium of three partners namely Population Services International (PSI), Tropical Health and Education Trust (THET) and Trcaire. The project aims to contribute to improved survival and health status of Somali people which will also contribute to an improvement in stability in the HCS regions. HCS supports Trcaire in partnership with DHBs to provide free Integrated Primary Health Care through 3 hospitals with 3 TB treatment centers, 8 MCHs, 5 outreach teams, 12 OTP sites, 4 stabilization centers and 50 health posts. The services include curative care, antenatal and postnatal care, immunization, screening for malnutrition, treatment of severe malnutrition in children under five (outpatient and inpatient) and inpatient care and maternity services in the hospitals. Surgical Obstetric emergency care is available in 2 of the hospitals and through referral to Mandera district hospital, Kenya.",07-01-2010,03-01-2015
Gedo,Dolow,Doolow,26,2603,Health,Health Consortium Somalia,Trocaire,"This is a five year project funded by DFID and Implemented by a consortium of three partners namely Population Services International (PSI), Tropical Health and Education Trust (THET) and Trcaire. The project aims to contribute to improved survival and health status of Somali people which will also contribute to an improvement in stability in the HCS regions. HCS supports Trcaire in partnership with DHBs to provide free Integrated Primary Health Care through 3 hospitals with 3 TB treatment centers, 8 MCHs, 5 outreach teams, 12 OTP sites, 4 stabilization centers and 50 health posts. The services include curative care, antenatal and postnatal care, immunization, screening for malnutrition, treatment of severe malnutrition in children under five (outpatient and inpatient) and inpatient care and maternity services in the hospitals. Surgical Obstetric emergency care is available in 2 of the hospitals and through referral to Mandera district hospital, Kenya.",07-01-2010,03-01-2015
Gedo,Garbaharey,Garbahaarey,26,2605,Health,Health Consortium Somalia,Trocaire,"This is a five year project funded by DFID and Implemented by a consortium of three partners namely Population Services International (PSI), Tropical Health and Education Trust (THET) and Trcaire. The project aims to contribute to improved survival and health status of Somali people which will also contribute to an improvement in stability in the HCS regions. HCS supports Trcaire in partnership with DHBs to provide free Integrated Primary Health Care through 3 hospitals with 3 TB treatment centers, 8 MCHs, 5 outreach teams, 12 OTP sites, 4 stabilization centers and 50 health posts. The services include curative care, antenatal and postnatal care, immunization, screening for malnutrition, treatment of severe malnutrition in children under five (outpatient and inpatient) and inpatient care and maternity services in the hospitals. Surgical Obstetric emergency care is available in 2 of the hospitals and through referral to Mandera district hospital, Kenya.",07-01-2010,03-01-2015
Gedo,Luuq,Luuq,26,2606,Health,Health Consortium Somalia,Trocaire,"This is a five year project funded by DFID and Implemented by a consortium of three partners namely Population Services International (PSI), Tropical Health and Education Trust (THET) and Trcaire. The project aims to contribute to improved survival and health status of Somali people which will also contribute to an improvement in stability in the HCS regions. HCS supports Trcaire in partnership with DHBs to provide free Integrated Primary Health Care through 3 hospitals with 3 TB treatment centers, 8 MCHs, 5 outreach teams, 12 OTP sites, 4 stabilization centers and 50 health posts. The services include curative care, antenatal and postnatal care, immunization, screening for malnutrition, treatment of severe malnutrition in children under five (outpatient and inpatient) and inpatient care and maternity services in the hospitals. Surgical Obstetric emergency care is available in 2 of the hospitals and through referral to Mandera district hospital, Kenya.",07-01-2010,03-01-2015
Gedo,Beled Hawo,Belet Xaawo,26,2602,Health,"Gedo Safe Motherhood Project, Somalia",Trocaire,"The goal of the three year EC funded project is to reduce maternal mortality and morbidity in the Gedo Region of Somalia by increasing access to SRH services. Specifically, the project aims to ensure that all women living in the five project districts will have equitable access to quality, sustainable and effective maternal health services and awareness and information on the importance of maternal health for them and their families.",01-01-2011,12-01-2013
Gedo,Dolow,Doolow,26,2603,Health,"Gedo Safe Motherhood Project, Somalia",Trocaire,"The goal of the three year EC funded project is to reduce maternal mortality and morbidity in the Gedo Region of Somalia by increasing access to SRH services. Specifically, the project aims to ensure that all women living in the five project districts will have equitable access to quality, sustainable and effective maternal health services and awareness and information on the importance of maternal health for them and their families.",01-01-2011,12-01-2013
Gedo,Garbaharey,Garbahaarey,26,2605,Health,"Gedo Safe Motherhood Project, Somalia",Trocaire,"The goal of the three year EC funded project is to reduce maternal mortality and morbidity in the Gedo Region of Somalia by increasing access to SRH services. Specifically, the project aims to ensure that all women living in the five project districts will have equitable access to quality, sustainable and effective maternal health services and awareness and information on the importance of maternal health for them and their families.",01-01-2011,12-01-2013
Gedo,Luuq,Luuq,26,2606,Health,"Gedo Safe Motherhood Project, Somalia",Trocaire,"The goal of the three year EC funded project is to reduce maternal mortality and morbidity in the Gedo Region of Somalia by increasing access to SRH services. Specifically, the project aims to ensure that all women living in the five project districts will have equitable access to quality, sustainable and effective maternal health services and awareness and information on the importance of maternal health for them and their families.",01-01-2011,12-01-2013
Gedo,Beled Hawo,Belet Xaawo,26,2602,Health,Somalia Malaria GFATM Funded Program Round 6,Trocaire,"Funded by UNICEF, GFATM Round 6 aimed at increasing provision of malaria diagnosis and treatment package to 90% of (public) health facilities, increase coverage of prevention methods in targeted malariaÕs areas for pregnant women and children under five as well as strengthening Ministry of healthÕs capacity in close collaboration with national and international partners. The activities included supply of malaria drugs, distribution of mosquito nets and refresher trainings for health community workers.",11-01-2009,11-01-2012
Gedo,Dolow,Doolow,26,2603,Health,Somalia Malaria GFATM Funded Program Round 6,Trocaire,"Funded by UNICEF, GFATM Round 6 aimed at increasing provision of malaria diagnosis and treatment package to 90% of (public) health facilities, increase coverage of prevention methods in targeted malariaÕs areas for pregnant women and children under five as well as strengthening Ministry of healthÕs capacity in close collaboration with national and international partners. The activities included supply of malaria drugs, distribution of mosquito nets and refresher trainings for health community workers.",11-01-2009,11-01-2012
Gedo,Garbaharey,Garbahaarey,26,2605,Health,Somalia Malaria GFATM Funded Program Round 6,Trocaire,"Funded by UNICEF, GFATM Round 6 aimed at increasing provision of malaria diagnosis and treatment package to 90% of (public) health facilities, increase coverage of prevention methods in targeted malariaÕs areas for pregnant women and children under five as well as strengthening Ministry of healthÕs capacity in close collaboration with national and international partners. The activities included supply of malaria drugs, distribution of mosquito nets and refresher trainings for health community workers.",11-01-2009,11-01-2012
Gedo,Luuq,Luuq,26,2606,Health,Somalia Malaria GFATM Funded Program Round 6,Trocaire,"Funded by UNICEF, GFATM Round 6 aimed at increasing provision of malaria diagnosis and treatment package to 90% of (public) health facilities, increase coverage of prevention methods in targeted malariaÕs areas for pregnant women and children under five as well as strengthening Ministry of healthÕs capacity in close collaboration with national and international partners. The activities included supply of malaria drugs, distribution of mosquito nets and refresher trainings for health community workers.",11-01-2009,11-01-2012
Gedo,Beled Hawo,Belet Xaawo,26,2602,Health,Gedo Regional Health Programme,Trocaire,"Funded by UNICEF, the project aims to contribute to improving the health of people in the Gedo region and to strengthening the health sector in Somalia. The project aims to achieve the following outputs:
1. Improved child health care services
2. Strengthened safer motherhood services
3. Increased child immunization coverage
4. Increased control of micro nutrient deficiency disorders
5. Improved growth monitoring and feeding practices and management of malnutrition.",04-01-2011,08-01-2014
Gedo,Dolow,Doolow,26,2603,Health,Gedo Regional Health Programme,Trocaire,"Funded by UNICEF, the project aims to contribute to improving the health of people in the Gedo region and to strengthening the health sector in Somalia. The project aims to achieve the following outputs:
1. Improved child health care services
2. Strengthened safer motherhood services
3. Increased child immunization coverage
4. Increased control of micro nutrient deficiency disorders
5. Improved growth monitoring and feeding practices and management of malnutrition.",04-01-2011,08-01-2014
Gedo,Garbaharey,Garbahaarey,26,2605,Health,Gedo Regional Health Programme,Trocaire,"Funded by UNICEF, the project aims to contribute to improving the health of people in the Gedo region and to strengthening the health sector in Somalia. The project aims to achieve the following outputs:
1. Improved child health care services
2. Strengthened safer motherhood services
3. Increased child immunization coverage
4. Increased control of micro nutrient deficiency disorders
5. Improved growth monitoring and feeding practices and management of malnutrition.",04-01-2011,08-01-2014
Gedo,Luuq,Luuq,26,2606,Health,Gedo Regional Health Programme,Trocaire,"Funded by UNICEF, the project aims to contribute to improving the health of people in the Gedo region and to strengthening the health sector in Somalia. The project aims to achieve the following outputs:
1. Improved child health care services
2. Strengthened safer motherhood services
3. Increased child immunization coverage
4. Increased control of micro nutrient deficiency disorders
5. Improved growth monitoring and feeding practices and management of malnutrition.",04-01-2011,08-01-2014
Gedo,Beled Hawo,Belet Xaawo,26,2602,Health,"Emergency health and nutrition response to drought and war affected population in Gedo region, South",Trocaire,"Implemented in partnership with DHBs with funding from ECHO, the project focused on two key results areas.
1. Enhancing the capacity of communities and local health workers with the skills and resources required to treat or prevent AWD, cholera and malaria at community level and to initiate a timely and effective response to outbreaks of the three diseases and to casualties of war. To protect communities from malaria, the projects provided 33,500 LLITNs to pregnant and post partum women, families of children in OTPs and vulnerable Households.
¥ To improve nutritional status and optimal recovery of the most vulnerable groups attending Trcaire supported health and OTP facilities by providing in patients and their caretakers with two meals/day covering 1,500 K/CAL and TB patients and their families with household monthly food ration for covering 1,500 CAL/ per/ day. Further, the project supplied supplementary rations for families of severely malnourished children attending OTP in order to ensure children in treatment have their full RUTF (ready to use therapeutic food) allocation as well as rations to pregnant women and post partum mothers.",05-01-2012,04-01-2013
Gedo,Dolow,Doolow,26,2603,Health,"Emergency health and nutrition response to drought and war affected population in Gedo region, South",Trocaire,"Implemented in partnership with DHBs with funding from ECHO, the project focused on two key results areas.
1. Enhancing the capacity of communities and local health workers with the skills and resources required to treat or prevent AWD, cholera and malaria at community level and to initiate a timely and effective response to outbreaks of the three diseases and to casualties of war. To protect communities from malaria, the projects provided 33,500 LLITNs to pregnant and post partum women, families of children in OTPs and vulnerable Households.
¥ To improve nutritional status and optimal recovery of the most vulnerable groups attending Trcaire supported health and OTP facilities by providing in patients and their caretakers with two meals/day covering 1,500 K/CAL and TB patients and their families with household monthly food ration for covering 1,500 CAL/ per/ day. Further, the project supplied supplementary rations for families of severely malnourished children attending OTP in order to ensure children in treatment have their full RUTF (ready to use therapeutic food) allocation as well as rations to pregnant women and post partum mothers.",05-01-2012,04-01-2013
Gedo,Garbaharey,Garbahaarey,26,2605,Livelihood,Somrep-Somalia Resilience Prgm,World_Vision_Somalia,The proposed project is to improve the  household and community resilience in populations affected by crises through targeted livelihood interventions.,01-01-2013,03-01-2014
Gedo,Luuq,Luuq,26,2606,Health,"Emergency health and nutrition response to drought and war affected population in Gedo region, South",Trocaire,"Implemented in partnership with DHBs with funding from ECHO, the project focused on two key results areas.
1. Enhancing the capacity of communities and local health workers with the skills and resources required to treat or prevent AWD, cholera and malaria at community level and to initiate a timely and effective response to outbreaks of the three diseases and to casualties of war. To protect communities from malaria, the projects provided 33,500 LLITNs to pregnant and post partum women, families of children in OTPs and vulnerable Households.
¥ To improve nutritional status and optimal recovery of the most vulnerable groups attending Trcaire supported health and OTP facilities by providing in patients and their caretakers with two meals/day covering 1,500 K/CAL and TB patients and their families with household monthly food ration for covering 1,500 CAL/ per/ day. Further, the project supplied supplementary rations for families of severely malnourished children attending OTP in order to ensure children in treatment have their full RUTF (ready to use therapeutic food) allocation as well as rations to pregnant women and post partum mothers.",05-01-2012,04-01-2013
Gedo,Beled Hawo,Belet Xaawo,26,2602,"MultiSectoral (Wash, Health, Livelihoods)",: Live Saving Multi-sectoral Response in Gedo Region South Central Somalia,Trocaire,"Implemented in partnership with COOPI, the project was in response to famine that was declared early 2011, the goal being contribute to building resilience of the most vulnerable households through a multi sectoral response. Specifically, the project sought to increase access to food, support recovery and build the resilience of 5100 most vulnerable households in Gedo Region. This was through provision of food, water, seed, animal treatment vouchers, NFIs as well as rebuilding productive assets through alternative cash injection and hygiene promotion.",07-01-2011,11-01-2012
Gedo,Dolow,Doolow,26,2603,"MultiSectoral (Wash, Health, Livelihoods)",: Live Saving Multi-sectoral Response in Gedo Region South Central Somalia,Trocaire,"Implemented in partnership with COOPI, the project was in response to famine that was declared early 2011, the goal being contribute to building resilience of the most vulnerable households through a multi sectoral response. Specifically, the project sought to increase access to food, support recovery and build the resilience of 5100 most vulnerable households in Gedo Region. This was through provision of food, water, seed, animal treatment vouchers, NFIs as well as rebuilding productive assets through alternative cash injection and hygiene promotion.",07-01-2011,11-01-2012
Gedo,Garbaharey,Garbahaarey,26,2605,"MultiSectoral (Wash, Health, Livelihoods)",: Live Saving Multi-sectoral Response in Gedo Region South Central Somalia,Trocaire,"Implemented in partnership with COOPI, the project was in response to famine that was declared early 2011, the goal being contribute to building resilience of the most vulnerable households through a multi sectoral response. Specifically, the project sought to increase access to food, support recovery and build the resilience of 5100 most vulnerable households in Gedo Region. This was through provision of food, water, seed, animal treatment vouchers, NFIs as well as rebuilding productive assets through alternative cash injection and hygiene promotion.",07-01-2011,11-01-2012
Gedo,Luuq,Luuq,26,2606,"MultiSectoral (Wash, Health, Livelihoods)",: Live Saving Multi-sectoral Response in Gedo Region South Central Somalia,Trocaire,"Implemented in partnership with COOPI, the project was in response to famine that was declared early 2011, the goal being contribute to building resilience of the most vulnerable households through a multi sectoral response. Specifically, the project sought to increase access to food, support recovery and build the resilience of 5100 most vulnerable households in Gedo Region. This was through provision of food, water, seed, animal treatment vouchers, NFIs as well as rebuilding productive assets through alternative cash injection and hygiene promotion.",07-01-2011,11-01-2012
Gedo,Beled Hawo,Belet Xaawo,26,2602,"MultiSectoral (Wash, Health, Livelihoods)","Humanitarian Assistance for Populations in Crisis in Gedo region, Southern Somalia",Trocaire,"Implemented in partnership with Concern, the project aimed at saving lives by reducing suffering and strengthening the capacity of vulnerable communities to rebuild their lives and livelihoods through provision of cash for work, rehabilitation/construction of water sources, hygiene promotion and shelter/NFI distribution. 
The project completed the rehabilitation of 2 boreholes, 15 shallow wells, 12 rain water catchments, constructed 5 underground storage tanks as well as conducted three month water trucking in 14 locations. Other completed activities included formation and training of 35 Water environment and Sanitation committees (WES) distribution of 2000 jerry cans, 2500 NFI kits and 2258 mosquito nets to vulnerable families.",02-01-2012,12-01-2012
